frame,dyanamic density
47.8667,0
48.0667,0
48.2667,0
48.4667,0
48.6667,0
48.8667,0
49.0667,0
49.2667,0
49.4667,0
49.6667,0
49.8667,0
50.0667,0
50.2667,0
50.4667,0
50.6667,0
50.8667,0
51.0667,0
51.2667,0
51.4667,0
51.6667,0
51.8667,0
52.0667,0
52.2667,0
52.4667,0
52.6667,0
52.8667,0.026
53.0667,0.0325
53.2667,0.039
53.4667,0.0585
53.6667,0.0715
53.8667,0.078
54.0667,0.078
54.2667,0
54.4667,0
54.6667,0
54.8667,0
55.0667,0
55.2667,0
55.4667,0
55.6667,0
55.8667,0
56.0667,0
56.2667,0
56.4667,0
56.6667,0
56.8667,0
57.0667,0
57.2667,0
57.4667,0
57.6667,0
57.8667,0
58.0667,0
58.2667,0.0065
58.4667,0.0065
58.6667,0.0065
58.8667,0
59.0667,0
59.2667,0.0065
59.4667,0
59.6667,0
59.8667,0
60.0667,0
60.2667,0
60.4667,0
60.6667,0
60.8667,0
61.0667,0
61.2667,0
61.4667,0
61.6667,0
61.8667,0
62.0667,0
62.2667,0
62.4667,0
62.6667,0
62.8667,0.0065
63.0667,0
63.2667,0
63.4667,0
63.6667,0
63.8667,0
64.0667,0
64.2667,0
64.4667,0
64.6667,0
64.8667,0
65.0667,0
65.2667,0
65.4667,0
65.6667,0
65.8667,0
66.0667,0
66.2667,0
66.4667,0
66.6667,0.013
66.8667,0.0065
67.0667,0
67.2667,0.0065
67.4667,0
67.6667,0.0065
67.8667,0.0065
68.0667,0
68.2667,0.0065
68.4667,0
68.6667,0
68.8667,0
69.0667,0
69.2667,0.013
69.4667,0.0325
69.6667,0
69.8667,0.0195
70.0667,0.0195
70.2667,0.026
70.4667,0.0065
70.6667,0.0065
70.8667,0.013
71.0667,0.0065
71.2667,0.013
71.4667,0.0065
71.6667,0.013
71.8667,0.0065
72.0667,0
72.2667,0
72.4667,0.0065
72.6667,0.026
72.8667,0.0325
73.0667,0.0065
73.2667,0.026
