frame,dynamic density
601,0.40334
602,0.434098
603,0.420566
604,0.416244
605,0.354327
606,0.366743
607,0.397169
608,0.399781
609,0.366872
610,0.377295
611,0.394638
612,0.343063
613,0.364063
614,0.317254
615,0.28019
616,0.268543
617,0.21063
618,0.169769
619,0.186791
620,0.196666
621,0.206311
622,0.179991
623,0.186135
624,0.248267
625,0.29459
626,0.26273
627,0.307181
628,0.362652
629,0.356437
630,0.341916
631,0.359512
632,0.36899
633,0.397865
634,0.427043
635,0.422073
636,0.407333
637,0.324061
638,0.383385
639,0.360022
640,0.294296
641,0.355902
642,0.366071
643,0.331726
644,0.307191
645,0.262609
646,0.240286
647,0.216857
648,0.213922
649,0.238016
650,0.175768
651,0.124013
652,0.0729018
653,0.0438463
654,0
655,0
656,0.0173021
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0.0248151
669,0.0523611
670,0.107923
671,0.141817
672,0.175797
673,0.241274
674,0.296907
675,0.292086
676,0.323673
677,0.309985
678,0.304386
679,0.219042
680,0.291344
681,0.237973
682,0.268359
683,0.213441
684,0.194447
685,0.158858
686,0.122379
687,0.113672
688,0.081335
689,0.038868
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0.0159982
701,0.033896
702,0.0526971
703,0.0381959
704,0.0662284
705,0.0566302
706,0.12185
707,0.118686
708,0.161001
709,0.177295
710,0.192146
711,0.189419
712,0.204893
713,0.232073
714,0.2335
715,0.203808
716,0.222073
717,0.206982
718,0.189468
719,0.169648
720,0.206038
721,0.188447
722,0.176713
723,0.224206
724,0.197954
725,0.20054
726,0.177864
727,0.126792
728,0.125849
729,0.0876395
730,0.0498083
731,0.0316475
732,0.0469513
733,0.0391182
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0.0282287
757,0.0526632
758,0.0990421
759,0.0934754
760,0.122093
761,0.113267
762,0.124132
763,0.126651
764,0.130973
765,0.147254
766,0.165348
767,0.181244
768,0.171795
769,0.152316
770,0.120638
771,0.137164
772,0.128405
773,0.121638
774,0.12107
775,0.102536
776,0.0962752
777,0.0925181
778,0.0793208
779,0.070136
780,0.0590578
781,0.0471294
782,0.0348459
783,0.015995
784,0.0188191
785,0.0304687
786,0.0353749
787,0.0376563
788,0.0394595
789,0.0388711
790,0.0452795
791,0.0515448
792,0.051108
793,0.0389051
794,0.0197298
795,0.0442915
796,0.0522127
797,0.0840871
798,0.0897205
799,0.0838432
800,0.137326
801,0.148762
802,0.124316
803,0.122695
804,0.0936906
805,0.067843
806,0.0774465
807,0
808,0
809,0
810,0
811,0
812,0.0513964
813,0.0763239
814,0.0657386
815,0.0900417
816,0.107507
817,0.0949246
818,0.0988894
819,0.0878272
820,0.0741135
821,0.0627438
822,0.0447548
823,0.0329801
824,0
825,0
826,0.0193237
827,0.0283315
828,0.032009
829,0.0336416
830,0.037793
831,0.0383824
832,0.0402758
833,0.0446806
834,0.0419285
835,0.0354767
836,0.0396546
837,0.0527385
838,0.0867776
839,0.105496
840,0.0962582
841,0.133291
842,0.149289
843,0.159815
844,0.174645
845,0.179119
846,0.166027
847,0.168435
848,0.174287
849,0.13868
850,0.110977
851,0.0782861
852,0.0627226
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0.0152116
863,0
864,0
865,0
866,0
867,0
