time(in secs),dynamic density
188,0.0156102
188.2,0.0194255
188.4,0.0167477
188.6,0.0180145
188.8,0.055781
189,0.0350325
189.2,0.0154607
189.4,0.0182403
189.6,0.0166735
189.8,0.0175311
190,0.0192654
190.2,0.0194743
190.4,0.0182276
190.6,0
190.8,0.0475609
191,0.0183951
191.2,0.0234232
191.4,0.0232536
191.6,0.0336045
191.8,0.0303362
192,0.0282902
192.2,0.0514155
192.4,0.0540127
192.6,0.062624
192.8,0.0612692
193,0.0595433
193.2,0.0429939
193.4,0.0427363
193.6,0.0365166
193.8,0.0364265
194,0.0424734
194.2,0.0348777
194.4,0.0335218
194.6,0.0357057
194.8,0.0321373
195,0.0185891
195.2,0.0347516
195.4,0.0187778
195.6,0.034848
195.8,0.049891
196,0.0459739
196.2,0.0441346
196.4,0.0535696
196.6,0.0520643
196.8,0.0684027
197,0.0561849
197.2,0.0819912
197.4,0.0906852
197.6,0.101013
197.8,0.0971614
198,0.0912481
198.2,0.129061
198.4,0.135641
198.6,0.13035
198.8,0.14813
199,0.162826
199.2,0.171932
199.4,0.190132
199.6,0.187873
199.8,0.209865
200,0.219331
200.2,0.227438
200.4,0.25105
200.6,0.259112
200.8,0.276712
201,0.303429
201.2,0.306411
201.4,0.290861
201.6,0.26627
201.8,0.170809
202,0.180358
202.2,0.218951
202.4,0.19471
202.6,0.141964
202.8,0.191188
203,0.143888
203.2,0.155356
203.4,0.143343
203.6,0.138826
203.8,0.129866
204,0.131953
204.2,0.170394
204.4,0.159738
204.6,0.167484
204.8,0.196244
205,0.125884
205.2,0.120229
205.4,0.0883901
205.6,0.126859
205.8,0.114713
206,0.124916
206.2,0.131681
206.4,0.151266
206.6,0.1592
206.8,0.165788
207,0.127874
207.2,0.124042
207.4,0.0858341
207.6,0.11783
207.8,0.090258
208,0.0763642
208.2,0.0765719
208.4,0.0621491
208.6,0.0824587
208.8,0.0928341
209,0.0244261
209.2,0.0326462
209.4,0.0545852
209.6,0.0422211
209.8,0.0455191
210,0.0496769
210.2,0.0528021
210.4,0.055181
210.6,0.0571963
210.8,0.0571931
211,0.0777412
211.2,0.0591331
211.4,0.059449
211.6,0.0593472
211.8,0.0522625
212,0.0591045
212.2,0.0588363
212.4,0.0585193
212.6,0.0926305
212.8,0.0750305
213,0.0766843
213.2,0.0776649
213.4,0.077332
213.6,0.0742386
213.8,0.0863388
214,0.0285064
214.2,0.0300054
214.4,0.0323091
214.6,0.0400638
214.8,0
215,0
215.2,0
215.4,0
215.6,0
215.8,0
216,0
216.2,0
216.4,0
216.6,0
216.8,0
217,0
217.2,0
217.4,0
217.6,0
217.8,0
218,0
218.2,0
218.4,0
218.6,0
218.8,0
219,0
219.2,0
219.4,0
219.6,0
219.8,0
220,0
220.2,0
220.4,0
220.6,0
220.8,0
221,0
221.2,0
221.4,0
221.6,0
221.8,0
222,0
222.2,0
222.4,0.0172608
222.6,0
222.8,0
223,0
223.2,0
223.4,0
223.6,0.0153536
223.8,0.0181428
224,0.0226154
224.2,0.0250144
224.4,0.0211768
224.6,0
224.8,0
225,0
225.2,0
225.4,0
225.6,0
225.8,0
226,0
226.2,0
226.4,0
226.6,0
226.8,0
227,0
227.2,0.0171378
227.4,0.025589
227.6,0.0209245
227.8,0.019893
228,0.0197753
228.2,0.0220514
228.4,0.0244218
228.6,0.0208026
228.8,0.0245246
229,0.0243094
229.2,0
229.4,0
229.6,0
229.8,0
230,0
230.2,0
230.4,0
230.6,0
230.8,0.0176943
231,0
231.2,0.0172745
231.4,0
231.6,0
231.8,0
232,0
232.2,0
232.4,0
232.6,0
232.8,0
233,0
233.2,0
233.4,0
233.6,0
233.8,0
234,0.0173021
234.2,0
234.4,0
234.6,0
234.8,0
235,0
235.2,0
235.4,0
235.6,0
235.8,0.0190566
236,0
236.2,0
236.4,0
236.6,0
236.8,0.015254
237,0.0184173
237.2,0.0186877
237.4,0.0364689
237.6,0
237.8,0.0192357
238,0.0241377
238.2,0
238.4,0.0210496
238.6,0
238.8,0
239,0
239.2,0
239.4,0
239.6,0
239.8,0
240,0
240.2,0
240.4,0
240.6,0
240.8,0
241,0
241.2,0
241.4,0.0188053
241.6,0.0172205
241.8,0
242,0.0161423
242.2,0
242.4,0
242.6,0
242.8,0
243,0
243.2,0
243.4,0
243.6,0
243.8,0
244,0
244.2,0
244.4,0
244.6,0.0243063
244.8,0
245,0
245.2,0
245.4,0
245.6,0
245.8,0
246,0
246.2,0
246.4,0
246.6,0.0651429
246.8,0.0627194
247,0.0635654
247.2,0.0636142
247.4,0.064298
247.6,0.0640774
247.8,0.0653528
248,0.0938921
248.2,0.0646743
248.4,0.0654514
248.6,0.0659316
248.8,0.0663747
249,0.0658425
249.2,0.0665189
249.4,0.0676394
249.6,0.0671136
249.8,0.0669334
250,0.0676278
250.2,0.0683645
250.4,0.0677274
250.6,0.0607508
250.8,0
